lead_time,avg_price_per_room,no_of_special_requests,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
71,120.0,0,6,14,3,3,0,2018,1,0
97,103.78,1,6,30,3,3,0,2018,2,0
33,62.0,0,1,25,2,1,1,2018,2,1
75,99.0,0,4,17,4,0,2,2018,2,0
60,96.17,1,6,17,4,5,2,2018,1,1
65,152.1,0,8,20,4,1,1,2018,2,1
22,288.0,2,8,19,4,2,0,2018,2,0
276,61.0,0,5,13,3,3,2,2018,2,1
100,108.0,0,10,16,3,1,0,2017,2,1
320,115.0,1,8,18,4,2,0,2018,2,1
8,66.0,0,1,14,2,1,0,2018,1,0
100,140.0,1,9,28,3,4,0,2018,2,0
0,67.5,0,1,8,4,1,0,2018,2,0
32,73.0,0,11,20,3,2,0,2017,1,0
23,109.0,1,1,2,3,1,2,2018,2,0
211,143.1,1,10,7,4,2,0,2018,2,1
15,85.0,2,11,1,4,4,0,2018,2,0
46,85.0,0,3,21,3,3,1,2018,2,0
93,161.15,1,11,7,2,3,1,2018,2,0
29,75.95,1,1,4,4,0,1,2018,2,0
8,176.34,3,5,27,4,2,2,2018,3,0
41,85.0,0,10,24,3,3,1,2018,2,0
14,177.0,0,6,20,4,1,1,2018,3,1
0,119.0,1,6,16,4,1,0,2018,2,0
4,92.4,0,10,11,4,3,2,2017,1,0
192,95.0,0,6,24,3,2,0,2018,1,0
0,109.0,0,8,14,3,2,0,2017,2,0
65,113.55,2,10,26,4,2,0,2018,2,0
22,115.0,0,10,5,3,2,0,2018,3,0
15,65.0,0,10,13,2,1,0,2018,1,0
15,174.0,2,9,20,4,2,2,2017,2,0
27,108.0,0,9,30,3,2,0,2017,2,0
55,94.5,0,4,12,4,1,0,2018,2,0
4,79.0,2,12,5,2,1,1,2018,1,0
124,97.01,1,8,8,4,5,1,2018,2,0
247,115.0,1,6,6,3,1,1,2018,2,1
11,85.0,0,2,13,3,3,2,2018,2,0
78,147.9,1,12,3,4,3,2,2018,2,0
2,133.5,2,9,3,4,2,0,2017,2,0
0,0.0,1,10,2,1,1,0,2017,2,0
273,94.5,0,6,24,4,2,1,2018,2,1
11,130.0,1,11,5,4,1,0,2018,2,1
32,95.0,0,10,10,2,2,1,2018,1,0
19,83.55,1,9,2,3,4,0,2017,2,0
3,204.82,1,10,7,4,2,1,2018,2,0
51,54.09,0,3,11,4,2,2,2018,2,1
188,130.0,0,6,15,3,2,0,2018,1,1
101,142.2,0,7,22,4,2,0,2018,3,1
10,102.0,0,11,1,4,4,0,2018,2,1
203,72.25,0,8,26,3,2,1,2018,2,0
108,93.4,0,12,24,4,3,2,2018,2,0
4,168.5,2,6,16,4,3,2,2018,2,0
154,75.0,0,4,19,3,3,0,2018,2,0
0,79.0,0,2,6,4,1,0,2018,1,0
110,138.55,2,7,7,4,3,1,2018,3,0
144,63.75,0,7,5,3,5,0,2018,2,0
39,101.5,0,8,14,3,2,0,2017,2,0
11,139.33,1,10,9,4,2,1,2017,2,0
106,105.0,0,5,21,3,3,2,2018,2,0
186,80.75,0,9,2,3,2,2,2018,2,0
82,185.03,2,7,2,4,1,0,2018,3,0
74,101.5,0,9,18,3,2,0,2017,2,0
301,115.0,1,7,30,3,1,1,2018,2,1
377,115.0,1,10,14,3,2,0,2018,2,1
32,202.05,1,9,24,4,1,1,2018,2,1
87,80.75,0,6,11,3,2,2,2018,2,0
4,162.75,0,6,10,4,2,0,2018,3,1
239,112.2,0,6,15,3,2,0,2018,2,1
175,72.25,0,8,3,3,9,3,2018,2,0
28,87.0,1,1,4,3,3,1,2018,2,0
359,78.0,1,10,14,3,3,2,2018,2,0
63,80.3,0,3,5,4,1,2,2018,2,0
44,157.5,0,8,31,4,3,0,2018,2,1
179,121.5,2,9,24,4,1,2,2018,2,1
6,136.0,1,10,4,4,1,2,2017,2,0
82,64.67,1,12,10,4,3,2,2018,2,0
275,62.8,0,6,4,3,1,1,2018,2,1
14,62.0,0,5,18,3,4,0,2018,1,0
6,77.0,2,12,18,4,1,0,2017,0,0
10,173.0,2,2,27,4,1,1,2018,2,0
18,129.1,0,2,26,4,9,4,2018,1,1
44,112.0,0,11,5,3,2,2,2018,2,0
137,136.34,1,8,4,4,3,1,2018,3,0
1,168.5,0,7,6,4,4,0,2018,2,0
124,159.3,0,6,3,4,2,1,2018,3,1
51,152.1,0,8,18,4,2,0,2018,2,1
10,97.0,0,3,11,4,2,1,2018,2,0
27,108.0,0,9,30,3,2,0,2017,2,0
31,125.1,0,8,6,4,1,2,2018,2,1
265,115.0,1,6,24,3,2,0,2018,2,1
30,60.0,0,1,6,3,4,1,2018,2,0
51,83.3,1,3,21,4,3,1,2018,2,0
4,169.0,0,9,15,4,1,0,2018,2,1
304,89.0,0,11,3,4,3,0,2018,2,1
26,120.0,0,6,8,3,1,0,2018,2,0
17,75.0,0,3,9,2,2,0,2018,1,0
115,104.4,0,10,27,4,2,0,2018,2,1
83,132.3,0,10,10,4,3,1,2018,2,1
8,149.0,3,9,15,4,1,0,2018,2,0
61,82.45,1,3,12,4,2,2,2018,1,0
1,60.0,0,2,28,4,1,2,2018,1,1
44,67.5,0,2,12,4,2,0,2018,2,1
69,108.53,2,4,27,4,4,1,2018,2,0
113,85.0,0,6,30,3,3,1,2018,2,1
68,67.5,0,3,15,4,1,0,2018,2,1
1,82.0,0,1,3,4,0,2,2018,1,0
11,191.35,1,8,8,4,0,1,2018,2,0
52,72.76,2,9,7,4,1,1,2017,2,0
230,96.3,1,9,2,4,2,1,2018,2,0
25,110.46,1,8,22,4,2,1,2018,2,0
24,85.0,0,2,6,4,1,2,2018,1,1
1,79.0,1,1,29,4,1,0,2018,2,0
61,67.91,2,12,5,4,2,1,2018,1,0
180,96.3,0,7,23,4,1,1,2018,2,1
118,110.0,0,6,6,3,1,1,2018,1,0
46,104.4,0,4,1,4,2,0,2018,2,1
55,104.0,0,4,6,3,1,0,2018,2,0
188,130.0,0,6,15,3,2,0,2018,1,1
41,76.5,0,3,15,4,1,0,2018,1,1
245,58.36,1,12,27,4,5,2,2018,2,1
141,90.0,0,9,20,3,0,1,2017,2,1
117,79.69,1,6,28,4,3,0,2018,2,0
7,65.0,0,10,12,2,0,1,2017,1,0
177,103.5,1,8,16,4,2,0,2018,2,1
7,103.0,1,3,7,4,3,1,2018,2,0
44,208.62,0,10,17,4,4,1,2018,2,1
140,70.0,0,12,29,3,5,0,2017,2,0
60,72.25,0,7,10,3,0,2,2018,2,0
183,80.1,2,10,29,4,1,2,2018,2,1
1,107.03,1,7,4,4,2,1,2018,2,0
151,143.28,1,12,29,4,3,0,2018,2,1
10,169.0,1,7,16,4,1,0,2018,2,1
45,102.04,1,10,4,4,3,0,2018,2,0
5,65.0,1,11,15,2,3,0,2018,1,0
266,69.36,2,12,4,3,1,2,2018,2,0
120,79.05,0,3,27,4,3,2,2018,1,1
161,114.3,1,5,22,4,1,2,2018,2,1
142,130.5,1,8,9,4,3,0,2018,2,1
280,107.0,1,8,12,4,2,1,2018,2,1
188,130.0,0,6,15,4,2,0,2018,1,1
38,73.1,0,3,4,3,2,0,2018,2,0
62,71.4,0,9,23,3,1,0,2017,2,0
99,65.0,0,10,30,3,2,2,2017,2,1
322,80.0,0,5,19,3,3,1,2018,2,1
151,80.0,0,1,19,3,3,0,2018,1,0
1,141.0,0,5,11,3,1,0,2018,2,0
65,168.3,2,8,16,4,1,0,2018,3,0
275,62.8,0,6,4,3,1,1,2018,2,1
14,80.08,0,5,31,4,2,0,2018,1,0
4,144.0,1,5,23,3,0,1,2018,1,0
92,150.3,0,8,20,4,2,2,2018,3,1
111,85.86,0,4,24,4,2,2,2018,2,0
301,52.0,0,11,18,3,2,0,2018,2,1
3,95.0,0,10,16,3,3,2,2018,1,0
44,108.45,0,6,19,4,2,2,2018,2,1
50,82.47,1,6,28,4,1,0,2018,2,0
33,0.0,1,10,31,4,0,0,2017,2,0
12,89.25,3,11,13,4,5,2,2018,2,0
18,73.92,1,9,15,4,3,0,2017,2,0
219,106.25,1,12,22,4,3,2,2018,2,0
1,104.0,1,11,16,4,3,0,2018,2,0
79,128.7,2,4,15,4,2,1,2018,3,0
285,100.0,0,10,3,3,3,1,2018,2,1
150,90.0,1,6,16,3,3,0,2018,2,0
276,116.33,0,9,22,3,3,0,2018,2,1
64,82.67,3,9,1,4,5,2,2018,2,0
132,72.25,0,7,17,3,1,2,2018,2,0
46,116.1,0,5,22,4,0,1,2018,2,0
88,76.5,1,7,1,4,4,0,2017,2,1
301,52.0,0,11,18,3,2,0,2018,2,1
4,88.0,0,3,7,3,3,1,2018,1,0
107,65.49,0,4,25,4,3,1,2018,2,0
21,117.0,0,2,29,4,0,1,2018,1,0
175,85.5,1,7,23,4,1,1,2018,2,0
14,62.0,0,5,18,3,4,0,2018,1,0
102,59.5,0,11,7,3,2,1,2018,2,1
204,90.0,0,5,5,3,3,0,2018,1,1
159,119.85,1,5,26,4,3,0,2018,2,1
204,72.75,0,10,9,3,2,2,2017,2,0
14,137.16,1,11,7,4,1,1,2018,1,0
14,100.0,0,10,15,3,1,0,2017,1,0
60,65.0,1,10,12,3,1,1,2017,2,0
35,540.0,0,3,25,3,1,0,2018,2,1
5,125.0,1,4,21,4,3,2,2018,2,0
55,207.9,0,9,20,4,3,0,2018,2,1
80,160.0,0,10,9,3,2,0,2017,3,0
102,101.5,0,10,16,3,2,0,2017,2,1
150,85.5,1,6,27,4,0,1,2018,2,1
9,111.35,2,5,31,4,2,0,2018,2,0
26,161.0,0,10,17,4,1,2,2017,2,0
64,126.0,1,11,1,4,4,0,2018,3,0
98,114.3,1,7,7,4,1,0,2018,2,1
1,100.0,0,10,2,3,2,0,2017,1,0
6,88.0,0,4,11,3,1,1,2018,1,0
14,69.0,1,12,5,3,1,2,2017,2,0
0,75.0,0,12,15,2,1,0,2017,1,0
22,156.0,1,5,21,4,1,0,2018,1,0
33,85.5,2,9,15,4,2,0,2017,1,0
14,100.0,0,10,15,3,2,0,2017,1,0
9,151.67,1,8,26,4,2,1,2018,2,1
27,177.0,2,10,17,4,2,1,2018,2,0
74,109.0,0,9,18,3,2,0,2017,2,0
187,78.41,0,10,10,4,2,1,2018,2,1
37,105.3,2,10,22,4,2,0,2017,2,0
174,131.75,0,8,16,4,8,2,2018,2,1
7,143.0,1,8,26,4,2,2,2018,2,0
22,73.15,0,9,4,4,3,2,2017,1,0
15,75.0,1,12,10,2,2,0,2017,2,0
122,107.0,1,3,27,3,1,2,2018,2,1
127,152.4,0,6,20,4,2,1,2018,3,0
31,70.0,0,2,4,2,2,0,2018,1,1
13,73.0,0,4,26,3,3,0,2018,1,0
25,108.99,1,10,3,4,2,1,2018,2,0
57,54.98,1,3,10,4,1,0,2018,1,0
57,85.5,1,4,26,3,4,0,2018,2,0
114,107.95,0,5,9,4,3,1,2018,2,1
2,67.0,0,3,31,2,2,0,2018,1,0
56,75.0,0,4,4,3,2,1,2018,2,0
47,118.8,0,4,23,4,1,0,2018,2,1
16,156.92,0,11,7,4,5,1,2018,1,1
123,151.43,1,11,6,4,2,2,2018,2,0
111,150.45,2,6,13,4,5,2,2018,3,1
3,135.67,1,3,25,4,2,1,2018,2,0
305,79.5,2,12,29,4,3,0,2018,2,1
117,72.25,0,7,12,3,3,0,2018,2,0
138,104.55,0,8,4,4,3,2,2018,2,1
63,130.0,1,5,16,2,2,1,2018,1,1
263,110.0,0,10,21,3,2,0,2018,2,1
0,129.0,2,6,19,4,0,1,2018,1,0
17,138.0,1,9,18,4,2,2,2017,2,0
13,125.67,1,4,29,4,2,1,2018,2,0
315,160.0,0,9,30,4,2,1,2018,2,1
41,85.67,0,3,13,2,1,2,2018,2,0
44,150.3,0,7,1,4,2,0,2018,3,1
48,85.5,1,10,21,3,2,1,2018,2,0
13,65.0,0,11,15,2,0,1,2017,1,0
1,65.0,0,11,19,2,1,0,2017,1,1
6,0.0,1,11,11,4,0,0,2017,2,0
42,48.5,1,11,30,4,4,2,2018,1,0
23,85.0,0,10,9,3,1,2,2018,2,0
84,151.59,1,7,31,4,5,2,2018,3,0
163,123.3,2,10,26,4,3,0,2018,3,1
0,75.28,0,10,22,4,1,0,2018,1,0
11,107.0,0,10,10,3,1,1,2018,2,0
188,130.0,0,6,15,3,2,0,2018,1,1
77,53.38,1,3,25,3,2,0,2018,2,0
9,0.0,2,7,8,1,1,0,2018,2,0
14,65.0,0,4,29,3,1,0,2018,2,0
197,128.7,0,10,29,4,1,2,2018,3,1
98,79.2,1,12,2,4,2,0,2018,2,0
3,72.5,0,7,11,3,1,2,2017,1,0
239,128.7,0,10,28,4,2,0,2018,3,1
49,93.15,0,7,11,4,0,1,2018,2,1
2,90.09,0,11,1,4,3,2,2017,1,0
5,91.0,0,2,16,4,3,0,2018,2,0
338,80.0,0,10,7,3,2,1,2018,2,1
1,110.0,0,10,11,0,2,0,2018,1,0
0,79.0,1,12,13,2,1,0,2018,1,0
12,100.0,0,10,12,2,3,1,2017,2,0
63,133.0,1,12,30,4,2,0,2017,2,0
27,120.0,0,6,9,3,1,0,2018,2,0
45,76.77,0,10,24,4,2,2,2017,2,0
46,60.0,1,11,6,3,2,1,2017,2,0
64,140.0,0,5,17,2,2,0,2018,2,1
82,129.59,2,6,9,4,3,0,2018,3,0
166,110.0,0,11,1,3,3,0,2018,1,1
277,100.3,0,9,12,4,4,1,2018,2,1
188,130.0,0,6,15,3,2,0,2018,1,1
1,177.0,4,6,15,4,3,0,2018,3,0
14,100.0,0,10,15,3,2,0,2017,1,0
34,153.0,0,10,6,4,3,0,2018,2,0
101,80.0,0,4,4,3,2,1,2018,2,1
92,100.0,0,3,26,3,1,2,2018,2,1
38,137.52,0,9,16,4,2,0,2018,2,0
147,76.5,0,8,11,4,3,0,2017,2,1
192,95.0,0,6,24,3,2,0,2018,1,0
54,118.6,0,5,16,4,1,1,2018,2,0
132,113.4,1,10,8,4,3,2,2018,1,1
124,94.5,0,8,8,3,1,2,2017,2,1
127,90.0,0,4,28,3,3,1,2018,2,0
13,115.0,0,6,12,4,0,2,2018,1,1
47,65.0,0,12,16,2,1,0,2017,1,0
13,120.0,0,4,2,4,2,2,2018,2,1
166,96.3,0,8,27,4,1,2,2018,2,1
377,115.0,1,10,14,3,2,0,2018,2,1
59,89.1,1,6,20,4,1,1,2018,2,0
28,141.67,1,12,30,3,2,1,2018,2,0
14,76.78,0,12,6,4,5,1,2018,1,0
102,109.0,0,10,16,3,2,0,2017,2,0
48,105.9,1,10,1,4,3,0,2017,2,0
90,90.95,0,4,15,4,5,2,2018,2,1
15,138.5,0,10,6,4,3,0,2018,2,0
56,185.0,0,9,25,3,2,2,2017,2,0
148,67.0,0,12,30,3,4,1,2017,2,0
188,80.75,0,6,2,3,3,0,2018,2,1
15,86.0,0,2,18,3,3,0,2018,1,0
32,91.05,1,11,10,4,3,2,2018,2,0
9,140.0,1,10,16,4,2,2,2018,2,1
82,121.55,1,4,16,4,2,2,2018,3,1
16,80.75,0,5,8,3,2,2,2018,2,0
5,95.0,0,4,4,0,3,1,2018,1,0
95,108.0,2,10,8,4,2,2,2018,2,0
81,65.0,0,3,25,3,2,2,2018,2,1
305,89.0,0,11,4,3,2,1,2018,2,1
69,106.0,0,9,22,3,2,0,2017,2,0
41,110.0,0,9,4,3,1,0,2017,2,0
273,95.0,0,5,13,3,2,1,2018,2,1
62,140.4,0,5,7,4,1,0,2018,2,1
11,79.5,0,11,1,3,6,2,2018,2,0
64,115.03,2,4,23,4,4,2,2018,2,0
261,90.95,2,10,13,3,3,0,2018,2,0
39,99.86,1,12,27,4,2,2,2017,2,0
8,79.0,1,6,23,4,1,0,2018,2,1
210,96.3,0,8,18,4,1,0,2018,1,1
62,152.1,1,9,11,4,0,2,2018,2,0
12,65.0,1,11,25,2,1,0,2017,1,0
37,104.0,1,12,7,4,3,0,2018,2,0
13,131.6,0,4,14,3,1,0,2018,2,0
27,128.2,1,9,23,3,1,0,2017,3,0
193,72.76,1,10,19,3,4,0,2018,1,0
92,90.0,0,11,11,3,1,0,2018,2,0
48,138.5,1,3,21,4,3,1,2018,2,1
28,95.95,2,10,12,4,1,1,2017,1,0
181,85.5,1,7,8,4,1,0,2018,2,1
21,196.0,0,4,11,4,1,1,2018,2,1
277,80.0,0,9,5,3,5,2,2018,2,1
117,94.5,0,8,1,3,1,2,2017,2,1
147,151.2,0,10,7,4,2,1,2018,3,0
111,115.6,1,11,21,4,5,1,2018,3,1
44,102.6,1,10,2,4,0,2,2018,1,0
160,70.67,0,12,30,3,3,0,2017,2,0
76,168.3,3,9,15,4,3,0,2018,3,0
8,97.02,0,10,20,4,4,0,2017,2,0
279,110.0,0,10,12,3,3,0,2018,2,1
5,167.0,0,8,21,4,0,1,2018,2,1
0,45.0,2,4,28,3,1,0,2018,1,0
130,101.98,0,8,20,4,13,6,2018,2,1
41,83.0,0,9,4,3,1,0,2017,1,0
55,104.0,0,4,6,3,1,0,2018,2,0
240,105.3,1,8,24,4,3,0,2018,2,1
270,62.8,0,4,20,3,4,0,2018,2,1
13,65.0,0,2,17,2,1,0,2018,1,0
8,85.0,1,2,19,3,2,1,2018,2,0
69,85.0,0,9,19,3,2,1,2018,2,0
86,96.9,0,7,10,3,2,2,2018,3,0
125,210.6,1,9,2,4,2,2,2018,2,1
286,58.5,0,9,16,3,2,0,2018,2,0
30,152.3,2,2,8,4,4,1,2018,2,0
68,149.4,2,9,24,4,2,2,2018,2,0
0,66.0,0,1,19,2,1,0,2018,1,0
117,94.5,0,8,1,3,1,2,2017,2,1
11,66.0,0,1,23,3,2,2,2018,2,0
48,97.2,2,11,4,4,2,0,2018,2,0
0,79.0,0,2,16,4,1,0,2018,2,0
102,150.45,1,5,5,4,3,1,2018,3,0
160,90.0,0,4,27,3,4,2,2018,2,1
188,130.0,0,6,15,4,2,0,2018,1,1
224,90.95,1,8,21,4,3,2,2018,2,0
5,121.43,1,7,14,4,3,0,2018,2,0
2,75.0,1,2,21,3,0,1,2018,1,0
113,72.25,0,7,14,3,3,1,2018,2,0
335,90.0,1,10,13,3,3,0,2018,2,0
42,85.05,0,11,24,3,2,0,2018,2,0
141,123.8,1,9,23,4,2,0,2018,2,0
56,185.0,0,9,25,3,2,2,2017,2,0
24,149.0,1,10,2,4,1,2,2018,2,0
151,121.5,2,9,4,4,5,2,2018,2,1
79,95.2,0,4,3,4,4,2,2018,2,1
34,68.07,1,12,10,4,2,2,2018,2,0
1,0.0,0,8,20,1,2,0,2017,1,0
8,169.38,0,9,21,2,2,0,2018,1,0
113,68.3,1,3,23,4,4,0,2018,2,0
105,110.0,0,10,12,4,2,1,2017,2,1
172,137.7,1,7,28,4,2,0,2018,3,1
20,107.0,2,10,7,4,2,0,2017,2,0
297,90.95,0,10,23,4,2,2,2018,2,1
0,66.0,1,3,7,2,1,1,2018,1,0
6,90.0,1,8,3,2,1,0,2018,1,0
221,65.0,0,10,17,3,1,2,2017,2,0
21,85.0,0,2,11,4,1,0,2018,1,1
213,99.71,2,10,17,4,3,1,2018,2,0
74,79.2,2,11,13,4,0,2,2018,2,0
16,96.25,1,12,5,4,1,1,2017,2,0
159,105.3,0,8,5,4,1,0,2018,1,1
101,80.0,0,4,4,3,2,1,2018,2,1
110,119.0,2,12,16,4,3,2,2018,3,1
55,78.3,1,3,13,4,1,2,2018,2,0
386,115.0,1,10,23,3,0,2,2018,2,1
6,129.0,0,5,12,2,1,0,2018,1,0
6,88.4,1,12,5,4,3,1,2018,2,0
18,151.0,1,8,16,4,2,0,2018,2,0
40,152.33,2,3,24,4,3,1,2018,3,0
192,95.0,0,6,24,3,2,0,2018,1,0
273,95.0,0,5,13,3,2,1,2018,2,1
292,115.0,0,7,21,3,2,0,2018,2,1
57,118.8,0,4,22,4,2,0,2018,2,1
106,108.3,0,7,11,4,2,1,2018,2,1
221,80.0,0,8,12,3,1,0,2018,2,1
226,119.85,1,9,21,4,5,2,2018,2,1
27,77.87,0,12,4,4,2,1,2017,2,1
1,206.0,2,5,20,4,1,0,2018,3,0
319,113.9,2,12,29,4,3,1,2018,3,1
261,68.0,0,11,20,3,1,2,2018,2,1
247,109.0,0,6,6,4,1,1,2018,2,1
4,65.0,0,4,10,2,1,2,2018,1,0
95,126.9,0,5,7,4,1,0,2018,2,1
71,132.6,0,5,7,4,4,2,2018,2,0
69,120.0,0,6,12,3,4,2,2018,1,1
0,141.0,1,3,19,4,1,1,2018,2,1
3,189.75,0,2,29,4,3,1,2018,2,0
53,135.9,2,6,28,4,5,0,2018,2,0
0,158.0,1,8,18,4,1,0,2018,2,1
85,90.95,0,4,13,4,5,2,2018,2,1
35,89.28,3,10,16,3,2,0,2017,2,0
33,119.0,1,9,26,4,1,1,2018,2,0
279,110.0,0,10,12,3,3,0,2018,2,1
88,90.0,1,10,7,2,2,0,2018,2,0
19,95.0,0,6,20,2,1,1,2018,1,0
48,168.3,0,8,20,4,2,2,2018,3,0
184,164.25,2,8,17,4,1,0,2018,2,1
41,85.67,0,3,13,2,1,2,2018,2,0
1,127.0,0,2,26,4,1,0,2018,3,0
32,73.0,0,11,20,3,2,0,2017,1,0
97,125.1,1,9,6,4,4,0,2018,2,0
1,107.0,0,4,19,3,2,0,2018,2,0
0,0.0,0,12,31,1,1,0,2017,1,0
10,157.0,3,4,25,4,2,1,2018,3,0
16,65.0,2,12,4,2,0,1,2018,1,0
16,133.6,0,12,10,4,7,4,2018,2,0
71,112.58,1,12,29,4,5,0,2017,3,0
2,78.0,1,12,17,4,1,0,2018,2,0
81,76.5,1,7,26,4,1,2,2017,2,1
99,62.37,0,4,2,4,4,2,2018,2,0
1,145.0,0,10,15,4,1,0,2017,2,0
27,108.0,0,9,30,3,2,0,2017,2,0
70,97.2,2,10,18,4,2,0,2018,2,0
130,125.51,2,6,28,4,5,1,2018,3,0
1,65.0,0,5,4,2,1,0,2018,1,0
63,106.88,2,9,3,4,2,2,2018,2,0
71,168.3,0,9,11,4,0,1,2018,3,0
7,65.0,0,10,22,2,1,0,2017,1,0
102,101.5,0,10,16,3,2,0,2017,2,1
29,66.18,1,12,2,2,2,0,2018,1,0
1,139.5,2,9,16,4,1,0,2018,1,0
29,104.5,2,9,1,4,2,0,2018,1,0
186,68.55,0,4,24,4,3,2,2018,1,1
99,79.5,2,2,14,4,2,2,2018,2,0
16,81.0,1,11,6,4,2,0,2017,1,0
91,146.7,0,7,3,4,5,2,2018,3,0
7,109.0,0,10,26,2,1,0,2018,2,0
0,91.2,0,9,8,3,1,0,2017,1,0
269,70.0,0,12,29,3,3,2,2018,1,0
208,88.77,2,10,23,4,2,2,2018,0,0
41,100.0,0,10,24,3,3,1,2018,2,0
7,215.0,1,4,15,3,2,0,2018,3,0
1,76.25,1,1,4,4,1,1,2018,2,0
105,75.0,0,4,6,3,1,0,2018,2,1
182,117.9,2,9,30,4,2,0,2018,2,1
10,93.0,0,2,25,4,3,0,2018,2,1
6,0.0,0,12,10,4,1,0,2017,1,0
16,135.0,0,9,7,4,3,1,2017,2,0
10,99.0,0,11,6,3,3,2,2018,1,0
1,70.4,1,11,30,4,2,0,2018,2,0
10,141.0,1,5,6,4,2,2,2018,2,0
51,102.6,1,11,4,4,2,0,2017,2,0
75,89.28,0,6,4,4,1,1,2018,2,0
32,103.5,2,9,7,4,1,1,2017,2,0
0,95.0,1,11,6,4,1,0,2017,2,0
1,79.0,0,12,29,2,1,0,2017,1,0
5,55.74,0,3,7,3,4,1,2018,1,0
49,112.8,1,3,4,4,2,1,2018,3,0
24,116.1,0,10,3,4,2,1,2018,2,1
120,90.95,0,4,8,4,3,2,2018,2,1
33,64.0,0,1,25,2,1,1,2018,2,0
213,130.0,0,6,7,3,3,0,2018,2,1
88,131.4,2,8,19,4,1,0,2018,2,0
105,75.0,0,4,6,3,1,0,2018,2,1
166,110.0,0,11,1,3,3,0,2018,1,1
25,88.0,2,11,17,4,3,0,2018,2,0
82,99.96,0,10,9,3,2,2,2018,2,0
5,134.83,0,9,10,4,4,2,2017,2,0
192,95.0,0,6,24,3,2,0,2018,1,0
85,85.0,1,10,6,3,3,1,2018,2,0
1,0.0,1,12,15,1,1,0,2018,2,0
166,110.0,0,11,1,3,3,0,2018,1,1
189,112.2,2,8,16,4,4,0,2018,2,1
73,126.9,0,5,7,4,1,0,2018,2,1
21,145.0,2,9,15,4,3,2,2018,1,0
181,120.0,1,10,11,3,1,0,2018,1,1
18,94.4,1,6,13,4,4,1,2018,2,0
192,95.0,0,6,24,3,2,0,2018,1,0
0,89.0,0,4,3,4,0,1,2018,1,0
102,95.03,0,5,2,4,4,1,2018,2,1
141,90.0,0,11,25,4,2,0,2018,2,0
14,85.0,0,2,18,4,2,0,2018,1,1
73,93.6,1,11,12,4,1,2,2018,2,0
95,93.08,1,4,5,4,4,0,2018,2,0
245,75.0,0,6,17,3,2,0,2018,2,1
26,144.5,2,4,11,4,3,1,2018,3,0
8,81.0,1,2,26,4,2,0,2018,2,0
3,65.0,0,12,10,2,1,0,2017,1,0
56,120.0,0,6,8,3,1,0,2018,2,0
8,108.33,1,6,13,4,2,1,2018,1,0
4,85.98,0,2,3,3,4,0,2018,2,0
6,137.0,0,9,3,4,3,2,2018,1,1
69,105.3,0,4,27,4,2,0,2018,2,1
296,117.0,1,9,21,3,4,0,2018,2,1
4,0.0,1,10,14,1,2,0,2018,2,0
34,65.0,0,3,4,3,3,2,2018,2,0
102,109.0,0,10,16,3,2,0,2017,2,0
64,63.75,0,7,12,3,2,0,2018,2,0
46,117.9,1,7,4,4,2,1,2018,2,0
63,137.7,0,7,17,4,0,1,2018,3,0
100,80.75,0,9,25,3,1,2,2018,2,0
30,140.0,0,6,2,3,2,0,2018,2,0
28,108.42,1,6,14,4,3,0,2018,1,0
107,127.1,1,8,20,4,1,2,2018,2,0
133,118.15,0,5,27,4,2,2,2018,2,1
26,128.33,1,3,29,4,3,0,2018,1,0
0,97.0,0,2,24,4,1,0,2018,2,0
68,68.0,0,7,4,4,1,2,2017,1,1
268,78.0,0,4,8,3,3,2,2018,2,0
16,105.0,2,9,4,4,1,0,2017,2,0
8,109.25,0,10,28,4,4,0,2017,2,0
23,89.0,0,6,23,4,1,0,2018,2,1
88,90.6,0,10,5,3,1,1,2017,1,0
145,65.0,0,1,3,3,1,2,2018,2,0
61,73.0,0,10,4,3,0,2,2017,1,0
119,81.0,1,2,10,4,3,0,2018,2,1
122,76.5,2,7,13,4,0,1,2017,2,1
39,71.1,0,3,11,4,1,0,2018,2,1
88,150.45,2,4,3,4,2,2,2018,2,0
27,120.0,0,6,9,3,1,0,2018,2,0
6,108.0,2,5,8,4,1,2,2018,2,0
263,110.0,0,10,21,3,2,0,2018,2,1
122,113.78,1,12,25,4,2,2,2018,2,1
94,168.3,0,9,5,4,0,1,2018,3,1
18,119.0,1,4,12,4,2,0,2018,2,0
29,87.0,1,3,5,3,1,2,2018,2,0
7,84.0,1,7,25,2,0,1,2018,1,0
73,145.93,0,7,2,4,10,4,2018,3,1
25,75.2,0,11,29,4,1,0,2018,1,0
9,86.25,0,1,17,4,0,2,2018,2,0
37,67.5,0,11,12,3,1,0,2018,1,0
304,89.0,0,11,3,3,3,0,2018,2,1
157,132.9,1,6,14,4,3,0,2018,2,1
320,90.0,0,8,18,3,2,0,2018,1,0
40,125.0,1,7,26,3,1,0,2018,2,0
22,159.0,1,8,1,4,3,1,2018,2,0
257,80.0,0,7,1,3,2,0,2017,1,0
74,101.5,0,9,18,3,2,0,2017,2,0
134,137.7,2,9,29,4,3,1,2018,2,1
151,71.0,1,1,19,3,3,0,2018,1,0
129,80.75,0,5,13,3,2,2,2018,2,0
15,124.0,0,8,2,4,2,0,2018,2,0
30,121.0,0,9,30,3,2,0,2017,2,0
